"category","matches","percentage","module","article","total_matches_article","module_total","total_words","prop_article","prop_module","matches_per_1000w"
"Epistemic",1,100,"Uncertainty_Types","A Green Costa Rican COVID-19 Recovery.pdf",36,1,21099,2.78,100,0.05
"Injectors",1,5.6,"Decision_Actors","A Green Costa Rican COVID-19 Recovery.pdf",36,18,21099,2.78,5.56,0.05
"Beneficiaries",3,16.7,"Decision_Actors","A Green Costa Rican COVID-19 Recovery.pdf",36,18,21099,8.33,16.67,0.14
"Affected",4,22.2,"Decision_Actors","A Green Costa Rican COVID-19 Recovery.pdf",36,18,21099,11.11,22.22,0.19
"Regulators",7,38.9,"Decision_Actors","A Green Costa Rican COVID-19 Recovery.pdf",36,18,21099,19.44,38.89,0.33
"Influencers",3,16.7,"Decision_Actors","A Green Costa Rican COVID-19 Recovery.pdf",36,18,21099,8.33,16.67,0.14
"Information",4,30.8,"Participation_Levels","A Green Costa Rican COVID-19 Recovery.pdf",36,13,21099,11.11,30.77,0.19
"Consultation",2,15.4,"Participation_Levels","A Green Costa Rican COVID-19 Recovery.pdf",36,13,21099,5.56,15.38,0.09
"Collaboration",4,30.8,"Participation_Levels","A Green Costa Rican COVID-19 Recovery.pdf",36,13,21099,11.11,30.77,0.19
"Co-decision",1,7.7,"Participation_Levels","A Green Costa Rican COVID-19 Recovery.pdf",36,13,21099,2.78,7.69,0.05
"Empowerment",2,15.4,"Participation_Levels","A Green Costa Rican COVID-19 Recovery.pdf",36,13,21099,5.56,15.38,0.09
"Institutional",1,25,"Challenges","A Green Costa Rican COVID-19 Recovery.pdf",36,4,21099,2.78,25,0.05
"Institutional",1,25,"Challenges","A Green Costa Rican COVID-19 Recovery.pdf",36,4,21099,2.78,25,0.05
"Institutional",1,25,"Challenges","A Green Costa Rican COVID-19 Recovery.pdf",36,4,21099,2.78,25,0.05
"Methodological",1,25,"Challenges","A Green Costa Rican COVID-19 Recovery.pdf",36,4,21099,2.78,25,0.05
"Epistemic",1,100,"Uncertainty_Types","A multi-objective model for sustainable reverse.pdf",13,1,3000,7.69,100,0.33
"Affected",2,28.6,"Decision_Actors","A multi-objective model for sustainable reverse.pdf",13,7,3000,15.38,28.57,0.67
"Regulators",4,57.1,"Decision_Actors","A multi-objective model for sustainable reverse.pdf",13,7,3000,30.77,57.14,1.33
"Influencers",1,14.3,"Decision_Actors","A multi-objective model for sustainable reverse.pdf",13,7,3000,7.69,14.29,0.33
"Co-decision",1,50,"Participation_Levels","A multi-objective model for sustainable reverse.pdf",13,2,3000,7.69,50,0.33
"Empowerment",1,50,"Participation_Levels","A multi-objective model for sustainable reverse.pdf",13,2,3000,7.69,50,0.33
"Institutional",1,33.3,"Challenges","A multi-objective model for sustainable reverse.pdf",13,3,3000,7.69,33.33,0.33
"Institutional",1,33.3,"Challenges","A multi-objective model for sustainable reverse.pdf",13,3,3000,7.69,33.33,0.33
"Institutional",1,33.3,"Challenges","A multi-objective model for sustainable reverse.pdf",13,3,3000,7.69,33.33,0.33
"Knightian",1,50,"Uncertainty_Types","A multi-objective solution approach for the design of a sustainable and robust.pdf",20,2,9273,5,50,0.11
"Epistemic",1,50,"Uncertainty_Types","A multi-objective solution approach for the design of a sustainable and robust.pdf",20,2,9273,5,50,0.11
"Injectors",1,11.1,"Decision_Actors","A multi-objective solution approach for the design of a sustainable and robust.pdf",20,9,9273,5,11.11,0.11
"Beneficiaries",2,22.2,"Decision_Actors","A multi-objective solution approach for the design of a sustainable and robust.pdf",20,9,9273,10,22.22,0.22
"Affected",2,22.2,"Decision_Actors","A multi-objective solution approach for the design of a sustainable and robust.pdf",20,9,9273,10,22.22,0.22
"Regulators",2,22.2,"Decision_Actors","A multi-objective solution approach for the design of a sustainable and robust.pdf",20,9,9273,10,22.22,0.22
"Influencers",2,22.2,"Decision_Actors","A multi-objective solution approach for the design of a sustainable and robust.pdf",20,9,9273,10,22.22,0.22
"Information",1,20,"Participation_Levels","A multi-objective solution approach for the design of a sustainable and robust.pdf",20,5,9273,5,20,0.11
"Consultation",1,20,"Participation_Levels","A multi-objective solution approach for the design of a sustainable and robust.pdf",20,5,9273,5,20,0.11
"Collaboration",2,40,"Participation_Levels","A multi-objective solution approach for the design of a sustainable and robust.pdf",20,5,9273,10,40,0.22
"Co-decision",1,20,"Participation_Levels","A multi-objective solution approach for the design of a sustainable and robust.pdf",20,5,9273,5,20,0.11
"Institutional",1,25,"Challenges","A multi-objective solution approach for the design of a sustainable and robust.pdf",20,4,9273,5,25,0.11
"Institutional",1,25,"Challenges","A multi-objective solution approach for the design of a sustainable and robust.pdf",20,4,9273,5,25,0.11
"Institutional",1,25,"Challenges","A multi-objective solution approach for the design of a sustainable and robust.pdf",20,4,9273,5,25,0.11
"Methodological",1,25,"Challenges","A multi-objective solution approach for the design of a sustainable and robust.pdf",20,4,9273,5,25,0.11
"Epistemic",1,100,"Uncertainty_Types","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",33,1,9635,3.03,100,0.1
"Extractors",3,25,"Decision_Actors","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",33,12,9635,9.09,25,0.31
"Injectors",1,8.3,"Decision_Actors","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",33,12,9635,3.03,8.33,0.1
"Beneficiaries",2,16.7,"Decision_Actors","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",33,12,9635,6.06,16.67,0.21
"Affected",3,25,"Decision_Actors","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",33,12,9635,9.09,25,0.31
"Regulators",1,8.3,"Decision_Actors","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",33,12,9635,3.03,8.33,0.1
"Influencers",2,16.7,"Decision_Actors","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",33,12,9635,6.06,16.67,0.21
"Information",3,23.1,"Participation_Levels","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",33,13,9635,9.09,23.08,0.31
"Consultation",4,30.8,"Participation_Levels","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",33,13,9635,12.12,30.77,0.42
"Collaboration",2,15.4,"Participation_Levels","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",33,13,9635,6.06,15.38,0.21
"Co-decision",1,7.7,"Participation_Levels","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",33,13,9635,3.03,7.69,0.1
"Empowerment",3,23.1,"Participation_Levels","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",33,13,9635,9.09,23.08,0.31
"Social",2,28.6,"Challenges","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",33,7,9635,6.06,28.57,0.21
"Social",2,28.6,"Challenges","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",33,7,9635,6.06,28.57,0.21
"Social",2,28.6,"Challenges","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",33,7,9635,6.06,28.57,0.21
"Methodological",1,14.3,"Challenges","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",33,7,9635,3.03,14.29,0.1
"Knightian",1,11.1,"Uncertainty_Types","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,9,5630,1.92,11.11,0.18
"Ontological",1,11.1,"Uncertainty_Types","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,9,5630,1.92,11.11,0.18
"Deep uncertainty",1,11.1,"Uncertainty_Types","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,9,5630,1.92,11.11,0.18
"Epistemic",4,44.4,"Uncertainty_Types","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,9,5630,7.69,44.44,0.71
"Normative",1,11.1,"Uncertainty_Types","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,9,5630,1.92,11.11,0.18
"Ambiguity",1,11.1,"Uncertainty_Types","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,9,5630,1.92,11.11,0.18
"Injectors",1,11.1,"Decision_Actors","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,9,5630,1.92,11.11,0.18
"Beneficiaries",3,33.3,"Decision_Actors","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,9,5630,5.77,33.33,0.53
"Affected",3,33.3,"Decision_Actors","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,9,5630,5.77,33.33,0.53
"Regulators",1,11.1,"Decision_Actors","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,9,5630,1.92,11.11,0.18
"Influencers",1,11.1,"Decision_Actors","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,9,5630,1.92,11.11,0.18
"Information",3,16.7,"Participation_Levels","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,18,5630,5.77,16.67,0.53
"Consultation",4,22.2,"Participation_Levels","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,18,5630,7.69,22.22,0.71
"Collaboration",6,33.3,"Participation_Levels","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,18,5630,11.54,33.33,1.07
"Co-decision",2,11.1,"Participation_Levels","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,18,5630,3.85,11.11,0.36
"Empowerment",3,16.7,"Participation_Levels","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,18,5630,5.77,16.67,0.53
"Social",2,12.5,"Challenges","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,16,5630,3.85,12.5,0.36
"Social",2,12.5,"Challenges","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,16,5630,3.85,12.5,0.36
"Social",2,12.5,"Challenges","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,16,5630,3.85,12.5,0.36
"Methodological",3,18.8,"Challenges","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,16,5630,5.77,18.75,0.53
"Methodological",3,18.8,"Challenges","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,16,5630,5.77,18.75,0.53
"Methodological",2,12.5,"Challenges","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,16,5630,3.85,12.5,0.36
"Temporal",1,6.2,"Challenges","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,16,5630,1.92,6.25,0.18
"Temporal",1,6.2,"Challenges","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",52,16,5630,1.92,6.25,0.18
"Extractors",1,12.5,"Decision_Actors","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",16,8,8134,6.25,12.5,0.12
"Beneficiaries",2,25,"Decision_Actors","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",16,8,8134,12.5,25,0.25
"Affected",1,12.5,"Decision_Actors","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",16,8,8134,6.25,12.5,0.12
"Regulators",3,37.5,"Decision_Actors","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",16,8,8134,18.75,37.5,0.37
"Influencers",1,12.5,"Decision_Actors","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",16,8,8134,6.25,12.5,0.12
"Information",1,25,"Participation_Levels","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",16,4,8134,6.25,25,0.12
"Consultation",1,25,"Participation_Levels","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",16,4,8134,6.25,25,0.12
"Co-decision",1,25,"Participation_Levels","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",16,4,8134,6.25,25,0.12
"Empowerment",1,25,"Participation_Levels","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",16,4,8134,6.25,25,0.12
"Institutional",1,25,"Challenges","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",16,4,8134,6.25,25,0.12
"Institutional",1,25,"Challenges","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",16,4,8134,6.25,25,0.12
"Institutional",1,25,"Challenges","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",16,4,8134,6.25,25,0.12
"Methodological",1,25,"Challenges","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",16,4,8134,6.25,25,0.12
"Ontological",3,50,"Uncertainty_Types","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,6,6679,5.26,50,0.45
"Deep uncertainty",1,16.7,"Uncertainty_Types","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,6,6679,1.75,16.67,0.15
"Epistemic",1,16.7,"Uncertainty_Types","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,6,6679,1.75,16.67,0.15
"Ambiguity",1,16.7,"Uncertainty_Types","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,6,6679,1.75,16.67,0.15
"Extractors",1,5.6,"Decision_Actors","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,18,6679,1.75,5.56,0.15
"Beneficiaries",3,16.7,"Decision_Actors","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,18,6679,5.26,16.67,0.45
"Affected",3,16.7,"Decision_Actors","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,18,6679,5.26,16.67,0.45
"Regulators",5,27.8,"Decision_Actors","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,18,6679,8.77,27.78,0.75
"Influencers",6,33.3,"Decision_Actors","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,18,6679,10.53,33.33,0.9
"Information",3,16.7,"Participation_Levels","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,18,6679,5.26,16.67,0.45
"Consultation",4,22.2,"Participation_Levels","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,18,6679,7.02,22.22,0.6
"Collaboration",5,27.8,"Participation_Levels","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,18,6679,8.77,27.78,0.75
"Co-decision",2,11.1,"Participation_Levels","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,18,6679,3.51,11.11,0.3
"Empowerment",4,22.2,"Participation_Levels","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,18,6679,7.02,22.22,0.6
"Institutional",1,6.7,"Challenges","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,15,6679,1.75,6.67,0.15
"Institutional",1,6.7,"Challenges","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,15,6679,1.75,6.67,0.15
"Institutional",2,13.3,"Challenges","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,15,6679,3.51,13.33,0.3
"Social",3,20,"Challenges","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,15,6679,5.26,20,0.45
"Social",3,20,"Challenges","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,15,6679,5.26,20,0.45
"Social",3,20,"Challenges","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,15,6679,5.26,20,0.45
"Methodological",2,13.3,"Challenges","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",57,15,6679,3.51,13.33,0.3
"Beneficiaries",1,20,"Decision_Actors","Argentina-Poverty-and-Macro-Economic-Impacts-of-Climate-Shocks.pdf",5,5,7879,20,20,0.13
"Regulators",2,40,"Decision_Actors","Argentina-Poverty-and-Macro-Economic-Impacts-of-Climate-Shocks.pdf",5,5,7879,40,40,0.25
"Influencers",2,40,"Decision_Actors","Argentina-Poverty-and-Macro-Economic-Impacts-of-Climate-Shocks.pdf",5,5,7879,40,40,0.25
"Ontological",1,33.3,"Uncertainty_Types","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",17,3,6656,5.88,33.33,0.15
"Deep uncertainty",1,33.3,"Uncertainty_Types","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",17,3,6656,5.88,33.33,0.15
"Epistemic",1,33.3,"Uncertainty_Types","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",17,3,6656,5.88,33.33,0.15
"Injectors",1,20,"Decision_Actors","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",17,5,6656,5.88,20,0.15
"Beneficiaries",2,40,"Decision_Actors","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",17,5,6656,11.76,40,0.3
"Regulators",1,20,"Decision_Actors","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",17,5,6656,5.88,20,0.15
"Influencers",1,20,"Decision_Actors","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",17,5,6656,5.88,20,0.15
"Collaboration",1,25,"Participation_Levels","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",17,4,6656,5.88,25,0.15
"Co-decision",2,50,"Participation_Levels","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",17,4,6656,11.76,50,0.3
"Empowerment",1,25,"Participation_Levels","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",17,4,6656,5.88,25,0.15
"Institutional",1,20,"Challenges","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",17,5,6656,5.88,20,0.15
"Methodological",2,40,"Challenges","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",17,5,6656,11.76,40,0.3
"Methodological",1,20,"Challenges","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",17,5,6656,5.88,20,0.15
"Methodological",1,20,"Challenges","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",17,5,6656,5.88,20,0.15
"Deep uncertainty",2,66.7,"Uncertainty_Types","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",32,3,9833,6.25,66.67,0.2
"Epistemic",1,33.3,"Uncertainty_Types","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",32,3,9833,3.12,33.33,0.1
"Extractors",2,11.1,"Decision_Actors","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",32,18,9833,6.25,11.11,0.2
"Injectors",2,11.1,"Decision_Actors","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",32,18,9833,6.25,11.11,0.2
"Beneficiaries",4,22.2,"Decision_Actors","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",32,18,9833,12.5,22.22,0.41
"Affected",1,5.6,"Decision_Actors","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",32,18,9833,3.12,5.56,0.1
"Regulators",5,27.8,"Decision_Actors","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",32,18,9833,15.62,27.78,0.51
"Influencers",4,22.2,"Decision_Actors","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",32,18,9833,12.5,22.22,0.41
"Collaboration",1,33.3,"Participation_Levels","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",32,3,9833,3.12,33.33,0.1
"Co-decision",1,33.3,"Participation_Levels","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",32,3,9833,3.12,33.33,0.1
"Empowerment",1,33.3,"Participation_Levels","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",32,3,9833,3.12,33.33,0.1
"Institutional",1,12.5,"Challenges","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",32,8,9833,3.12,12.5,0.1
"Institutional",1,12.5,"Challenges","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",32,8,9833,3.12,12.5,0.1
"Institutional",2,25,"Challenges","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",32,8,9833,6.25,25,0.2
"Methodological",2,25,"Challenges","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",32,8,9833,6.25,25,0.2
"Methodological",1,12.5,"Challenges","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",32,8,9833,3.12,12.5,0.1
"Methodological",1,12.5,"Challenges","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",32,8,9833,3.12,12.5,0.1
"Knightian",2,50,"Uncertainty_Types","Bringing ecosystem services into forest planning.pdf",28,4,9160,7.14,50,0.22
"Deep uncertainty",1,25,"Uncertainty_Types","Bringing ecosystem services into forest planning.pdf",28,4,9160,3.57,25,0.11
"Epistemic",1,25,"Uncertainty_Types","Bringing ecosystem services into forest planning.pdf",28,4,9160,3.57,25,0.11
"Extractors",2,20,"Decision_Actors","Bringing ecosystem services into forest planning.pdf",28,10,9160,7.14,20,0.22
"Beneficiaries",2,20,"Decision_Actors","Bringing ecosystem services into forest planning.pdf",28,10,9160,7.14,20,0.22
"Affected",3,30,"Decision_Actors","Bringing ecosystem services into forest planning.pdf",28,10,9160,10.71,30,0.33
"Regulators",2,20,"Decision_Actors","Bringing ecosystem services into forest planning.pdf",28,10,9160,7.14,20,0.22
"Influencers",1,10,"Decision_Actors","Bringing ecosystem services into forest planning.pdf",28,10,9160,3.57,10,0.11
"Information",1,10,"Participation_Levels","Bringing ecosystem services into forest planning.pdf",28,10,9160,3.57,10,0.11
"Consultation",3,30,"Participation_Levels","Bringing ecosystem services into forest planning.pdf",28,10,9160,10.71,30,0.33
"Collaboration",3,30,"Participation_Levels","Bringing ecosystem services into forest planning.pdf",28,10,9160,10.71,30,0.33
"Co-decision",1,10,"Participation_Levels","Bringing ecosystem services into forest planning.pdf",28,10,9160,3.57,10,0.11
"Empowerment",2,20,"Participation_Levels","Bringing ecosystem services into forest planning.pdf",28,10,9160,7.14,20,0.22
"Social",1,25,"Challenges","Bringing ecosystem services into forest planning.pdf",28,4,9160,3.57,25,0.11
"Social",1,25,"Challenges","Bringing ecosystem services into forest planning.pdf",28,4,9160,3.57,25,0.11
"Social",1,25,"Challenges","Bringing ecosystem services into forest planning.pdf",28,4,9160,3.57,25,0.11
"Methodological",1,25,"Challenges","Bringing ecosystem services into forest planning.pdf",28,4,9160,3.57,25,0.11
"Ontological",1,25,"Uncertainty_Types","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,4,6498,1.41,25,0.15
