"category","matches","percentage","module","article","total_matches_article","module_total","total_words","prop_article","prop_module","matches_per_1000w"
"Information",6,54.5,"Participation_Levels","A multi-objective solution approach for the design of a sustainable and robust.pdf",93,11,10445,6.45,54.55,0.57
"Consultation",1,9.1,"Participation_Levels","A multi-objective solution approach for the design of a sustainable and robust.pdf",93,11,10445,1.08,9.09,0.1
"Collaboration",1,9.1,"Participation_Levels","A multi-objective solution approach for the design of a sustainable and robust.pdf",93,11,10445,1.08,9.09,0.1
"Co-decision",3,27.3,"Participation_Levels","A multi-objective solution approach for the design of a sustainable and robust.pdf",93,11,10445,3.23,27.27,0.29
"Institutional",1,14.3,"Challenges","A multi-objective solution approach for the design of a sustainable and robust.pdf",93,7,10445,1.08,14.29,0.1
"Institutional",1,14.3,"Challenges","A multi-objective solution approach for the design of a sustainable and robust.pdf",93,7,10445,1.08,14.29,0.1
"Institutional",1,14.3,"Challenges","A multi-objective solution approach for the design of a sustainable and robust.pdf",93,7,10445,1.08,14.29,0.1
"Methodological",4,57.1,"Challenges","A multi-objective solution approach for the design of a sustainable and robust.pdf",93,7,10445,4.3,57.14,0.38
"Epistemic",68,100,"Uncertainty_Types","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",162,68,10628,41.98,100,6.4
"Extractors",32,71.1,"Decision_Actors","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",162,45,10628,19.75,71.11,3.01
"Injectors",1,2.2,"Decision_Actors","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",162,45,10628,0.62,2.22,0.09
"Beneficiaries",1,2.2,"Decision_Actors","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",162,45,10628,0.62,2.22,0.09
"Affected",2,4.4,"Decision_Actors","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",162,45,10628,1.23,4.44,0.19
"Regulators",1,2.2,"Decision_Actors","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",162,45,10628,0.62,2.22,0.09
"Influencers",8,17.8,"Decision_Actors","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",162,45,10628,4.94,17.78,0.75
"Information",21,50,"Participation_Levels","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",162,42,10628,12.96,50,1.98
"Consultation",14,33.3,"Participation_Levels","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",162,42,10628,8.64,33.33,1.32
"Co-decision",3,7.1,"Participation_Levels","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",162,42,10628,1.85,7.14,0.28
"Empowerment",4,9.5,"Participation_Levels","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",162,42,10628,2.47,9.52,0.38
"Methodological",5,71.4,"Challenges","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",162,7,10628,3.09,71.43,0.47
"Methodological",1,14.3,"Challenges","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",162,7,10628,0.62,14.29,0.09
"Methodological",1,14.3,"Challenges","Accounting for multiple ecosystem services in a simulation ofland-use decisions Does it reduce tropical deforestation.pdf",162,7,10628,0.62,14.29,0.09
"Knightian",1,1.4,"Uncertainty_Types","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,74,6014,0.56,1.35,0.17
"Ontological",2,2.7,"Uncertainty_Types","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,74,6014,1.12,2.7,0.33
"Deep uncertainty",16,21.6,"Uncertainty_Types","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,74,6014,8.99,21.62,2.66
"Epistemic",50,67.6,"Uncertainty_Types","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,74,6014,28.09,67.57,8.31
"Normative",1,1.4,"Uncertainty_Types","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,74,6014,0.56,1.35,0.17
"Ambiguity",4,5.4,"Uncertainty_Types","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,74,6014,2.25,5.41,0.67
"Injectors",1,3.6,"Decision_Actors","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,28,6014,0.56,3.57,0.17
"Beneficiaries",4,14.3,"Decision_Actors","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,28,6014,2.25,14.29,0.67
"Affected",2,7.1,"Decision_Actors","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,28,6014,1.12,7.14,0.33
"Regulators",5,17.9,"Decision_Actors","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,28,6014,2.81,17.86,0.83
"Influencers",16,57.1,"Decision_Actors","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,28,6014,8.99,57.14,2.66
"Information",15,22.4,"Participation_Levels","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,67,6014,8.43,22.39,2.49
"Consultation",3,4.5,"Participation_Levels","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,67,6014,1.69,4.48,0.5
"Collaboration",28,41.8,"Participation_Levels","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,67,6014,15.73,41.79,4.66
"Co-decision",1,1.5,"Participation_Levels","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,67,6014,0.56,1.49,0.17
"Empowerment",20,29.9,"Participation_Levels","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,67,6014,11.24,29.85,3.33
"Methodological",5,55.6,"Challenges","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,9,6014,2.81,55.56,0.83
"Methodological",1,11.1,"Challenges","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,9,6014,0.56,11.11,0.17
"Methodological",1,11.1,"Challenges","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,9,6014,0.56,11.11,0.17
"Temporal",1,11.1,"Challenges","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,9,6014,0.56,11.11,0.17
"Temporal",1,11.1,"Challenges","Addressing-uncertainty-in-Participatory-Integrated-Assessment-qualitative-modeling-approach-for-risk-estimationRegional-Environmental-Change (1).pdf",178,9,6014,0.56,11.11,0.17
"Epistemic",8,100,"Uncertainty_Types","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",47,8,9112,17.02,100,0.88
"Extractors",4,19,"Decision_Actors","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",47,21,9112,8.51,19.05,0.44
"Beneficiaries",4,19,"Decision_Actors","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",47,21,9112,8.51,19.05,0.44
"Affected",1,4.8,"Decision_Actors","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",47,21,9112,2.13,4.76,0.11
"Regulators",11,52.4,"Decision_Actors","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",47,21,9112,23.4,52.38,1.21
"Influencers",1,4.8,"Decision_Actors","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",47,21,9112,2.13,4.76,0.11
"Information",6,85.7,"Participation_Levels","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",47,7,9112,12.77,85.71,0.66
"Consultation",1,14.3,"Participation_Levels","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",47,7,9112,2.13,14.29,0.11
"Institutional",3,27.3,"Challenges","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",47,11,9112,6.38,27.27,0.33
"Institutional",3,27.3,"Challenges","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",47,11,9112,6.38,27.27,0.33
"Institutional",3,27.3,"Challenges","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",47,11,9112,6.38,27.27,0.33
"Methodological",2,18.2,"Challenges","An-Integrated-Approach-to-Assess-the-Water-Efficiency-of-Introducing-Best-Management-Practices-An-Application-to-Sugarcane-Mechanisation-in-BrazilWater-Switzerland.pdf",47,11,9112,4.26,18.18,0.22
"Ontological",7,9.1,"Uncertainty_Types","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",265,77,7357,2.64,9.09,0.95
"Deep uncertainty",14,18.2,"Uncertainty_Types","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",265,77,7357,5.28,18.18,1.9
"Epistemic",55,71.4,"Uncertainty_Types","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",265,77,7357,20.75,71.43,7.48
"Ambiguity",1,1.3,"Uncertainty_Types","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",265,77,7357,0.38,1.3,0.14
"Extractors",53,49.1,"Decision_Actors","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",265,108,7357,20,49.07,7.2
"Beneficiaries",5,4.6,"Decision_Actors","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",265,108,7357,1.89,4.63,0.68
"Affected",6,5.6,"Decision_Actors","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",265,108,7357,2.26,5.56,0.82
"Regulators",33,30.6,"Decision_Actors","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",265,108,7357,12.45,30.56,4.49
"Influencers",11,10.2,"Decision_Actors","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",265,108,7357,4.15,10.19,1.5
"Information",13,21,"Participation_Levels","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",265,62,7357,4.91,20.97,1.77
"Consultation",11,17.7,"Participation_Levels","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",265,62,7357,4.15,17.74,1.5
"Collaboration",9,14.5,"Participation_Levels","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",265,62,7357,3.4,14.52,1.22
"Co-decision",4,6.5,"Participation_Levels","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",265,62,7357,1.51,6.45,0.54
"Empowerment",25,40.3,"Participation_Levels","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",265,62,7357,9.43,40.32,3.4
"Institutional",3,16.7,"Challenges","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",265,18,7357,1.13,16.67,0.41
"Institutional",3,16.7,"Challenges","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",265,18,7357,1.13,16.67,0.41
"Institutional",7,38.9,"Challenges","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",265,18,7357,2.64,38.89,0.95
"Methodological",5,27.8,"Challenges","Application of Exploratory Modeling in Support of Transdisciplinary Inquiry.pdf",265,18,7357,1.89,27.78,0.68
"Beneficiaries",4,6.1,"Decision_Actors","Argentina-Poverty-and-Macro-Economic-Impacts-of-Climate-Shocks.pdf",93,66,14932,4.3,6.06,0.27
"Affected",10,15.2,"Decision_Actors","Argentina-Poverty-and-Macro-Economic-Impacts-of-Climate-Shocks.pdf",93,66,14932,10.75,15.15,0.67
"Regulators",7,10.6,"Decision_Actors","Argentina-Poverty-and-Macro-Economic-Impacts-of-Climate-Shocks.pdf",93,66,14932,7.53,10.61,0.47
"Influencers",45,68.2,"Decision_Actors","Argentina-Poverty-and-Macro-Economic-Impacts-of-Climate-Shocks.pdf",93,66,14932,48.39,68.18,3.01
"Information",25,92.6,"Participation_Levels","Argentina-Poverty-and-Macro-Economic-Impacts-of-Climate-Shocks.pdf",93,27,14932,26.88,92.59,1.67
"Consultation",2,7.4,"Participation_Levels","Argentina-Poverty-and-Macro-Economic-Impacts-of-Climate-Shocks.pdf",93,27,14932,2.15,7.41,0.13
"Ontological",5,3.5,"Uncertainty_Types","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",193,142,7039,2.59,3.52,0.71
"Deep uncertainty",1,0.7,"Uncertainty_Types","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",193,142,7039,0.52,0.7,0.14
"Epistemic",136,95.8,"Uncertainty_Types","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",193,142,7039,70.47,95.77,19.32
"Injectors",1,5.9,"Decision_Actors","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",193,17,7039,0.52,5.88,0.14
"Beneficiaries",7,41.2,"Decision_Actors","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",193,17,7039,3.63,41.18,0.99
"Regulators",1,5.9,"Decision_Actors","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",193,17,7039,0.52,5.88,0.14
"Influencers",8,47.1,"Decision_Actors","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",193,17,7039,4.15,47.06,1.14
"Information",5,71.4,"Participation_Levels","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",193,7,7039,2.59,71.43,0.71
"Collaboration",1,14.3,"Participation_Levels","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",193,7,7039,0.52,14.29,0.14
"Co-decision",1,14.3,"Participation_Levels","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",193,7,7039,0.52,14.29,0.14
"Institutional",8,29.6,"Challenges","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",193,27,7039,4.15,29.63,1.14
"Methodological",7,25.9,"Challenges","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",193,27,7039,3.63,25.93,0.99
"Methodological",6,22.2,"Challenges","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",193,27,7039,3.11,22.22,0.85
"Methodological",6,22.2,"Challenges","Assessing uncertainties in surface water security An empirical multimodel approach.pdf",193,27,7039,3.11,22.22,0.85
"Deep uncertainty",9,20.9,"Uncertainty_Types","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",212,43,10831,4.25,20.93,0.83
"Epistemic",34,79.1,"Uncertainty_Types","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",212,43,10831,16.04,79.07,3.14
"Extractors",4,2.8,"Decision_Actors","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",212,144,10831,1.89,2.78,0.37
"Injectors",14,9.7,"Decision_Actors","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",212,144,10831,6.6,9.72,1.29
"Beneficiaries",38,26.4,"Decision_Actors","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",212,144,10831,17.92,26.39,3.51
"Affected",6,4.2,"Decision_Actors","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",212,144,10831,2.83,4.17,0.55
"Regulators",53,36.8,"Decision_Actors","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",212,144,10831,25,36.81,4.89
"Influencers",29,20.1,"Decision_Actors","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",212,144,10831,13.68,20.14,2.68
"Information",1,12.5,"Participation_Levels","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",212,8,10831,0.47,12.5,0.09
"Consultation",6,75,"Participation_Levels","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",212,8,10831,2.83,75,0.55
"Collaboration",1,12.5,"Participation_Levels","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",212,8,10831,0.47,12.5,0.09
"Institutional",4,23.5,"Challenges","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",212,17,10831,1.89,23.53,0.37
"Institutional",4,23.5,"Challenges","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",212,17,10831,1.89,23.53,0.37
"Institutional",5,29.4,"Challenges","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",212,17,10831,2.36,29.41,0.46
"Methodological",4,23.5,"Challenges","Background Note 4. Unconventional Oil and Gas Development in Argentina.pdf",212,17,10831,1.89,23.53,0.37
"Knightian",1,1.8,"Uncertainty_Types","Bringing ecosystem services into forest planning.pdf",218,56,10469,0.46,1.79,0.1
"Deep uncertainty",2,3.6,"Uncertainty_Types","Bringing ecosystem services into forest planning.pdf",218,56,10469,0.92,3.57,0.19
"Epistemic",53,94.6,"Uncertainty_Types","Bringing ecosystem services into forest planning.pdf",218,56,10469,24.31,94.64,5.06
"Extractors",6,5.7,"Decision_Actors","Bringing ecosystem services into forest planning.pdf",218,106,10469,2.75,5.66,0.57
"Beneficiaries",5,4.7,"Decision_Actors","Bringing ecosystem services into forest planning.pdf",218,106,10469,2.29,4.72,0.48
"Affected",3,2.8,"Decision_Actors","Bringing ecosystem services into forest planning.pdf",218,106,10469,1.38,2.83,0.29
"Regulators",3,2.8,"Decision_Actors","Bringing ecosystem services into forest planning.pdf",218,106,10469,1.38,2.83,0.29
"Influencers",89,84,"Decision_Actors","Bringing ecosystem services into forest planning.pdf",218,106,10469,40.83,83.96,8.5
"Information",25,45.5,"Participation_Levels","Bringing ecosystem services into forest planning.pdf",218,55,10469,11.47,45.45,2.39
"Consultation",20,36.4,"Participation_Levels","Bringing ecosystem services into forest planning.pdf",218,55,10469,9.17,36.36,1.91
"Collaboration",4,7.3,"Participation_Levels","Bringing ecosystem services into forest planning.pdf",218,55,10469,1.83,7.27,0.38
"Co-decision",5,9.1,"Participation_Levels","Bringing ecosystem services into forest planning.pdf",218,55,10469,2.29,9.09,0.48
"Empowerment",1,1.8,"Participation_Levels","Bringing ecosystem services into forest planning.pdf",218,55,10469,0.46,1.82,0.1
"Methodological",1,100,"Challenges","Bringing ecosystem services into forest planning.pdf",218,1,10469,0.46,100,0.1
"Ontological",1,2.8,"Uncertainty_Types","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,36,6638,0.28,2.78,0.15
"Politically induced",1,2.8,"Uncertainty_Types","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,36,6638,0.28,2.78,0.15
"Deep uncertainty",18,50,"Uncertainty_Types","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,36,6638,5.08,50,2.71
"Epistemic",16,44.4,"Uncertainty_Types","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,36,6638,4.52,44.44,2.41
"Injectors",3,2.8,"Decision_Actors","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,106,6638,0.85,2.83,0.45
"Beneficiaries",44,41.5,"Decision_Actors","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,106,6638,12.43,41.51,6.63
"Affected",7,6.6,"Decision_Actors","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,106,6638,1.98,6.6,1.05
"Regulators",25,23.6,"Decision_Actors","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,106,6638,7.06,23.58,3.77
"Influencers",27,25.5,"Decision_Actors","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,106,6638,7.63,25.47,4.07
